entity_key,group_name,entity_name,entity_type,inn,ogrn,kpp_list,official_name,short_name,brand_aliases,search_terms,eis_search_term,roseltorg_customer_query,is_priority_focus,identity_source,identity_confidence,notes,aliases
sberbank_russia,Sber Group,ПАО Сбербанк России,bank,7707083893,1027700132195,010502001;027802001;032302001;112343435;143502001;165502001;246602001;263402001;272143001;280102001;332802001;352502001;380843001;434502001;490902000;540345004;540602001;540602002;590443001;631602001;667102006;667102008;720302020;753602002;760443001;773601001;773643001;773643002;774401001;775003035,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",Сбербанк России,Сбербанк;ПАО Сбербанк,Сбербанк;Сбербанк России;ПАО Сбербанк,Сбербанк,СБЕРБАНК РОССИИ,0,eis_exact;ast_audit,verified,ОГРН из EIS; КПП из EIS/AST audit,"[""ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО \""СБЕРБАНК РОССИИ\"""", ""Сбербанк России"", ""Сбербанк"", ""ПАО Сбербанк""]"
sberbank_ast,Sber Group,АО Сбербанк-АСТ,etp,7707308480,1027707000441,770401001;770701001,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ""",Сбербанк-АСТ,Сбербанк-АСТ;Сбербанк АСТ,Сбербанк-АСТ;Сбербанк АСТ,Сбербанк-АСТ,СБЕРБАНК-АСТ,0,eis_exact;ast_audit,verified,ОГРН из EIS; КПП из EIS/AST audit,"[""АО \""СБЕРБАНК - АСТ\"""", ""ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО \""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ\"""", ""АКЦИОНЕРНОЕ ОБЩЕСТВО \""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ\"""", ""АО \""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ\"""", ""АО Сбербанк-АСТ""]"
sberbank_leasing,Sber Group,АО Сбербанк Лизинг,leasing,7707009586,1027739000728,503201001,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""",Сбербанк Лизинг,СберЛизинг;Сбербанк Лизинг,Сбербанк Лизинг;СберЛизинг,Сбербанк Лизинг,СБЕРБАНК ЛИЗИНГ,0,eis_exact;ast_audit,verified,ОГРН из EIS; КПП из EIS/AST audit,"[""АО \""СБЕРБАНК ЛИЗИНГ\"""", ""АКЦИОНЕРНОЕ ОБЩЕСТВО \""СБЕРБАНК ЛИЗИНГ\"""", ""АО Сбербанк Лизинг""]"
sberbank_insurance,Sber Group,ООО СК Сбербанк Страхование,insurance,7706810747,1147746683479,772501001;773001001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""СБЕРБАНК СТРАХОВАНИЕ""",СК Сбербанк Страхование,Сбербанк Страхование;СберСтрахование,Сбербанк Страхование;СК Сбербанк Страхование,Сбербанк Страхование,СБЕРБАНК СТРАХОВАНИЕ,0,eis_exact;ast_audit,verified,ОГРН из EIS; КПП из EIS/AST audit,"[""ООО СК \""СБЕРБАНК СТРАХОВАНИЕ\"""", ""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ \""СБЕРБАНК СТРАХОВАНИЕ\"""", ""ООО \""СБЕРБАНК СТРАХОВАНИЕ\"""", ""ООО СК Сбербанк Страхование""]"
sberbank_life_insurance,Sber Group,ООО СК Сбербанк Страхование Жизни,insurance,7744002123,1037700051146,773001001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ""",СК Сбербанк Страхование Жизни,Сбербанк Страхование Жизни;СберСтрахование жизни,Сбербанк Страхование Жизни;СК Сбербанк Страхование Жизни,Сбербанк Страхование Жизни,СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ,0,eis_exact;ast_audit,verified,ОГРН из EIS; КПП из EIS/AST audit,"[""ООО СК \""СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ\"""", ""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ \""СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ\"""", ""ООО \""СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ\"""", ""ООО СК Сбербанк Страхование Жизни""]"
sberbank_factoring,Sber Group,ООО Сбербанк Факторинг,factoring,7802754982,1117847260794,771401001;780201005,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК ФАКТОРИНГ""",Сбербанк Факторинг,Сбербанк Факторинг;СберФакторинг,Сбербанк Факторинг;СберФакторинг,Сбербанк Факторинг,СБЕРБАНК ФАКТОРИНГ,0,eis_exact;ast_audit,verified,ОГРН из EIS; КПП из EIS/AST audit,"[""Общество с ограниченной ответственностью «Сбербанк Факторинг»"", ""ООО \""СБЕРБАНК ФАКТОРИНГ\"""", ""ООО Сбербанк Факторинг""]"
sberbank_capital,Sber Group,ООО Сбербанк Капитал,investment,7736581290,1087746887678,773601001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК КАПИТАЛ""",Сбербанк Капитал,Сбербанк Капитал,Сбербанк Капитал,Сбербанк Капитал,СБЕРБАНК КАПИТАЛ,0,eis_exact;ast_audit,verified,ОГРН из EIS; КПП из EIS/AST audit,"[""ООО \""СБЕРБАНК КАПИТАЛ\"""", ""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""СБЕРБАНК КАПИТАЛ\"""", ""ООО Сбербанк Капитал""]"
sberbank_investments,Sber Group,ООО Сбербанк Инвестиции,investment,5032229441,1105032007761,503201001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК ИНВЕСТИЦИИ""",Сбербанк Инвестиции,Сбербанк Инвестиции;СберИнвестиции,Сбербанк Инвестиции;СберИнвестиции,Сбербанк Инвестиции,СБЕРБАНК ИНВЕСТИЦИИ,0,eis_exact;ast_audit,verified,ОГРН из EIS; КПП из EIS/AST audit,"[""ООО \""Сбербанк Инвестиции\"""", ""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""СБЕРБАНК ИНВЕСТИЦИИ\"""", ""ООО Сбербанк Инвестиции""]"
sberbank_telecom_sbermobile,Sber Group,ООО Сбербанк-Телеком (СберМобайл),telecom,7736264044,,773601001;997750001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",Сбербанк-Телеком,СберМобайл;Сбербанк-Телеком;Сбербанк Телеком,Сбербанк-Телеком;Сбербанк Телеком;СберМобайл,Сбербанк-Телеком,СБЕРБАНК-ТЕЛЕКОМ,1,ast_audit,inn_kpp_verified,ОГРН не заполнен без локального подтверждения,"[""ООО \""СБЕРБАНК-ТЕЛЕКОМ\"""", ""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""СБЕРБАНК-ТЕЛЕКОМ\"""", ""ООО Сбербанк-Телеком (СберМобайл)""]"
sberbank_broker,Sber Group,ООО Страховой брокер Сбербанка,broker,7706810730,1147746683468,201401001;773001001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВОЙ БРОКЕР СБЕРБАНКА""",Страховой брокер Сбербанка,Страховой брокер Сбербанка,Страховой брокер Сбербанка,Страховой брокер Сбербанка,СТРАХОВОЙ БРОКЕР СБЕРБАНКА,0,eis_exact;ast_audit,verified,ОГРН из EIS; КПП из EIS/AST audit,"[""ООО \""СТРАХОВОЙ БРОКЕР СБЕРБАНКА\"""", ""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""СТРАХОВОЙ БРОКЕР СБЕРБАНКА\"""", ""ООО Страховой брокер Сбербанка""]"
