entity_name,procedure_number,lot_number,subject,focus_category,price_rub,category_median_price,value_ratio_to_category_median,anomaly_type,anomaly_reason,detail_url
ПАО Сбербанк России,1895000000824000001,1,Оказание аудиторских услуг ПАО Сбербанк,Consulting,1066759667.0,1200000.0,888.9663891666667,price_outlier,price >= 2x category median,https://www.sberbank-ast.ru/OK/purchaseview.aspx?id=10184329
ООО Сбербанк-Телеком,SBR028-2509160031.1,1,"Поставка и внедрение Программного Комплекса, включающего функциональные модули: PCEF, DPI, TDF для нужд ООО Сбербанк-Телеком",Telecom & Devices,186025058.33,2500000.0,74.41002333200001,price_outlier,price >= 2x category median,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/45/0/0/3413508
ООО Сбербанк-Телеком,SBR028-2410010034.1,1,Оказание комплекса услуг по проведению приемки-передачи предметов лизинга для нужд ООО «Сбербанк-Телеком»,Telecom & Devices,160489600.0,2500000.0,64.19584,price_outlier,price >= 2x category median,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/45/0/0/2348639
ООО Сбербанк-Телеком,SBR028-2508210056.1,1,Поставка аппаратного обеспечения для ООО Сбербанк-Телеком,Telecom & Devices,155097500.0,2500000.0,62.039,price_outlier,price >= 2x category median,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/48/0/0/3350017
ООО Сбербанк-Телеком,SBR028-2411020013.1,1,Оказание комплекса услуг по проведению приемки-передачи предметов лизинга для нужд ООО «Сбербанк-Телеком»,Telecom & Devices,101000000.0,2500000.0,40.4,price_outlier,price >= 2x category median,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/45/0/0/2444890
ООО Сбербанк-Телеком,SBR028-2510140031.1,1,Поставка и внедрение части компонентов нового биллингового решения BILRND (2-я часть компонентов) для ООО «СБЕРБАНК-ТЕЛЕКОМ»,Telecom & Devices,99999999.0,2500000.0,39.9999996,price_outlier,price >= 2x category median,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/45/0/0/3485637
ООО Сбербанк-Телеком,SBR028-2510100053.1,1,Поставка сетевого оборудования (коммутаторы ЦОД) для ООО Сбербанк-Телеком,Telecom & Devices,56526412.96,2500000.0,22.610565184,price_outlier,price >= 2x category median,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/48/0/0/3477662
ООО Сбербанк-Телеком,SBR028-2408190016.1,1,ОКАЗАНИЕ УСЛУГ ПРОВЕДЕНИЯ ИМИДЖЕВОЙ ФОТОСЕССИИ ДЛЯ НУЖД ООО «СБЕРБАНК-ТЕЛЕКОМ»,Telecom & Devices,49999999.0,2500000.0,19.9999996,price_outlier,price >= 2x category median,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/45/0/0/2230349
ООО СберАвто,SBR028-2405200013.1,1,Оказание услуг по осмотру автомобилей,Other,27154200.0,100000.0,271.542,price_outlier,price >= 2x category median,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/29/0/0/1946576
ПАО Сбербанк России,SBR028-2410280050.1,1,Простая продажа на право заключения Договора доходной утилизации бывшего в употреблении (использовавшегося в процессе осуществления деятельности Банка) имущества Банка: Простая продажа (продажа без ЭП) на право заключения Договора доходной утилизации бывшего в употреблении (использовавшегося в процессе осуществления деятельности Банка) имущества Банка,Other,26558382.29,100000.0,265.5838229,price_outlier,price >= 2x category median,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2426798
