publication_year,focus_category,lots_count,total_price_rub,share_of_year_value
2024,Consulting,10,1075562828.3400002,0.6584740667479483
2024,Telecom & Devices,47,327739599.0,0.20064660185490524
2024,Other,145,193703691.85,0.11858801211400824
2024,Software & Cloud,24,23250000.0,0.014233963510544683
2024,Office & Admin,11,8628549.68,0.005282514464259871
2024,Security,3,4438273.36,0.0027171707981102173
2024,Infrastructure,3,50200.0,3.073311691309003e-05
2024,Logistics,13,44000.0,2.693739331027811e-05
2025,Telecom & Devices,134,668264970.23,0.7727116297030321
2025,Other,930,87871868.75,0.1016058269274448
2025,Logistics,32,36319800.5,0.04199641382546929
2025,Software & Cloud,58,31565415.189999998,0.03649894054049097
2025,Office & Admin,79,22852076.48,0.02642374813224411
2025,Consulting,15,9159850.0,0.010591491304563331
2025,Infrastructure,23,6537984.97,0.007559841150141186
2025,Security,6,2259032.33,0.002612108416614076
