publication_year,focus_category,lots_count,total_price_rub,prev_year_lots_count,prev_year_total_price_rub,lots_count_delta,lots_count_growth_ratio,total_price_delta_rub,total_price_growth_ratio
2024,Consulting,10,1075562828.3400002,,,,,,
2025,Consulting,15,9159850.0,10.0,1075562828.3400002,5.0,1.5,-1066402978.3400002,0.008516331876341533
2024,Infrastructure,3,50200.0,,,,,,
2025,Infrastructure,23,6537984.97,3.0,50200.0,20.0,7.666666666666667,6487784.97,130.23874442231076
2024,Logistics,13,44000.0,,,,,,
2025,Logistics,32,36319800.5,13.0,44000.0,19.0,2.4615384615384617,36275800.5,825.4500113636363
2024,Office & Admin,11,8628549.68,,,,,,
2025,Office & Admin,79,22852076.48,11.0,8628549.68,68.0,7.181818181818182,14223526.8,2.648426135039649
2024,Other,145,193703691.85,,,,,,
2025,Other,930,87871868.75,145.0,193703691.85,785.0,6.413793103448276,-105831823.1,0.4536406503704953
2024,Security,3,4438273.36,,,,,,
2025,Security,6,2259032.33,3.0,4438273.36,3.0,2.0,-2179241.0300000003,0.5089890024259344
2024,Software & Cloud,24,23250000.0,,,,,,
2025,Software & Cloud,58,31565415.189999998,24.0,23250000.0,34.0,2.4166666666666665,8315415.189999998,1.357652266236559
2024,Telecom & Devices,47,327739599.0,,,,,,
2025,Telecom & Devices,134,668264970.23,47.0,327739599.0,87.0,2.851063829787234,340525371.23,2.039011984725105
