publication_month,focus_category,lots_count,total_price_rub,avg_price_rub
2024-01,Other,47,28200340.0,626674.2222222222
2024-02,Consulting,1,,
2024-02,Logistics,3,,
2024-02,Other,76,56224637.53999999,791896.3033802817
2024-02,Software & Cloud,1,,
2024-02,Telecom & Devices,5,,
2024-03,Office & Admin,1,,
2024-03,Other,76,44163231.93,622017.3511267606
2024-04,Other,93,38613466.67,433859.17606741574
2024-04,Software & Cloud,2,5250000.0,5250000.0
2024-04,Telecom & Devices,2,,
2024-05,Office & Admin,1,100000.0,100000.0
2024-05,Other,109,39294540.0,370703.2075471698
2024-05,Telecom & Devices,1,,
2024-06,Logistics,1,,
2024-06,Office & Admin,1,651378.44,651378.44
2024-06,Other,111,12742460.0,116903.30275229357
2024-06,Software & Cloud,4,,
2024-07,Logistics,2,,
2024-07,Office & Admin,1,6782400.0,6782400.0
2024-07,Other,68,10264636.0,162930.73015873015
2024-07,Software & Cloud,2,,
2024-07,Telecom & Devices,3,,
2024-08,Logistics,2,,
2024-08,Other,144,72359568.0,583544.9032258064
2024-08,Security,1,2772000.0,2772000.0
2024-08,Software & Cloud,1,,
2024-08,Telecom & Devices,10,55499999.0,18499999.666666668
2024-09,Consulting,1,1604856.0,1604856.0
2024-09,Infrastructure,1,,
2024-09,Logistics,2,,
2024-09,Office & Admin,2,330063.24,165031.62
2024-09,Other,162,52888960.0,339031.7948717949
2024-09,Software & Cloud,4,,
2024-09,Telecom & Devices,1,,
2024-10,Consulting,2,2880000.0,1440000.0
2024-10,Infrastructure,1,,
2024-10,Logistics,1,44000.0,44000.0
2024-10,Office & Admin,1,,
2024-10,Other,105,37790776.61,460863.1293902439
2024-10,Security,1,1666273.36,1666273.36
2024-10,Software & Cloud,5,,
2024-10,Telecom & Devices,6,171239600.0,85619800.0
2024-11,Consulting,4,3818305.34,1272768.4466666665
2024-11,Infrastructure,1,50200.0,50200.0
2024-11,Office & Admin,2,764708.0,382354.0
2024-11,Other,49,32511244.249999996,1083708.1416666666
2024-11,Software & Cloud,3,18000000.0,18000000.0
2024-11,Telecom & Devices,7,101000000.0,101000000.0
2024-12,Consulting,2,1067259667.0,533629833.5
2024-12,Logistics,2,,
2024-12,Office & Admin,2,,
2024-12,Other,83,21740510.0,306204.3661971831
2024-12,Security,1,,
2024-12,Software & Cloud,2,,
2024-12,Telecom & Devices,12,,
2025-01,Consulting,1,2000000.0,2000000.0
2025-01,Infrastructure,1,,
2025-01,Logistics,1,,
2025-01,Other,46,3937800.0,93757.14285714286
