publication_month,lots_count,total_price_rub,avg_price_rub,avg_usd_rub,avg_key_rate,inflation_yoy_pct,inflation_target_pct,corr_total_vs_usd,corr_total_vs_key_rate,corr_total_vs_inflation,corr_lots_vs_usd,corr_lots_vs_key_rate,corr_lots_vs_inflation
2024-01,52,173223764.45000002,10826485.278125001,88.6802875,16.0,7.44,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2024-02,109,862570734.7200001,24644878.134857144,91.518255,16.0,7.69,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2024-03,86,414576626.34,11845046.466857143,91.73163333333333,16.0,7.72,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2024-04,104,781260886.4499999,14204743.39,92.95856666666667,16.0,7.84,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2024-05,97,1908055450.2199996,38161109.0044,90.60715263157894,16.0,8.3,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2024-06,82,309026540.51,7023330.466136365,87.75688,16.0,8.59,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2024-07,107,329928308.68,6469182.523137255,87.49164999999999,16.26086956521739,9.13,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2024-08,120,1389390634.5900002,27242953.619411763,89.16016086956522,18.0,9.05,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2024-09,100,952632873.84,32849409.442758624,91.234505,18.523809523809526,8.63,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2024-10,115,2840433663.05,53593087.982075475,96.16022608695651,19.347826086956523,8.54,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2024-11,143,1837837518.7500002,19144140.820312504,100.68745,21.0,8.88,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2024-12,128,1600398821.5000002,23886549.574626867,102.25964761904763,21.0,9.52,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2025-01,74,137454911.32,5286727.358461538,100.412125,21.0,9.92,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2025-02,97,1385520593.29,24741439.165892858,92.742305,21.0,10.06,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2025-03,89,542569431.49,13233400.76804878,86.02341428571428,21.0,10.34,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2025-04,136,573231011.2,8307695.814492755,83.4256,21.0,10.23,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2025-05,108,1706707073.46,35556397.36375,80.20483157894738,21.0,9.88,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2025-06,112,10286389949.880001,223617172.82347825,78.66786111111111,20.25,9.4,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2025-07,113,2190009221.3599997,47608896.11652173,78.77240434782608,19.652173913043477,8.79,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2025-08,182,24799234920.42,393638649.5304762,80.12778636363636,18.0,8.14,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2025-09,229,3388242775.64,55544963.53508197,82.97080476190476,17.454545454545453,7.98,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2025-10,238,1584390797.02,17410887.87934066,80.92137391304348,16.891304347826086,7.71,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2025-11,237,1507886141.9599998,13227071.420701755,80.34382500000001,16.5,6.64,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
2025-12,242,9574480178.460001,75389607.70440945,78.40162272727274,16.34090909090909,5.59,4.0,-0.41269051265002044,-0.004348036800294235,-0.2141001381002051,-0.48140492492400205,-0.1796977678253192,-0.5391058988889316
