source_system,entity_name,procedure_number,lot_number,line_no,item_name,okpd_code,okpd_name,quantity,unit,price_rub,item_description,item_id_external,okei_code,unit_price_rub,line_total_rub,sberb2b_need_id,sberb2b_condition_id,unit_price_source,focus_category
roseltorg,ООО ЕАПТЕКА,B0104251649415,1,1,"Техническое обслуживание, монтаж и демонтаж систем вентиляции и кондиционирования для нужд еАптека",43.22.12,"43.22.12 Работы по монтажу систем отопления, вентиляции и кондиционирования воздуха",1.0,Условная единица,,,,,,,,,lot_total_fallback,Software & Cloud
roseltorg,ООО ЕАПТЕКА,B0104251710318,1,1,Эксплуатация и текущий ремонт зданий и сооружений для нужд еАптека,41.20.40,41.20.40 Работы строительные по возведению нежилых зданий и сооружений (работы по строительству новых объекто...,1.0,Условная единица,,,,,,,,,lot_total_fallback,Infrastructure
roseltorg,ООО ЕАПТЕКА,B0204251251223,1,1,Гигрометр психрометрический ВИТ-1 с поверкой,26.51.51,"26.51.51 Гидрометры, термометры, пирометры, барометры, гигрометры и психрометры",900.0,шт.,,,,,,,,,lot_total_fallback,Other
roseltorg,ООО ЕАПТЕКА,B0204251251223,2,1,Гигрометр электронный Фармацевт с поверкой,26.51.51,"26.51.51 Гидрометры, термометры, пирометры, барометры, гигрометры и психрометры",900.0,шт.,,,,,,,,,lot_total_fallback,Other
roseltorg,ООО ЕАПТЕКА,B0210251122051,1,1,Предоставление услуг по реализации акций кешбэка и промокодных акций,64.9,"64.9 Услуги финансовые прочие, кроме услуг по страхованию и пенсионному обеспечению",1.0,Условная единица,,,,,,,,,lot_total_fallback,Logistics
roseltorg,ООО ЕАПТЕКА,B0404251235097,1,1,"Гигрометр психрометрический ВИТ-1 с поверкой (поверка 1 год), либо альтернативный вариант с теми же характеристиками",26.51.51,"26.51.51 Гидрометры, термометры, пирометры, барометры, гигрометры и психрометры",900.0,шт.,,,,,,,,,lot_total_fallback,Other
roseltorg,ООО ЕАПТЕКА,B0404251437167,1,1,Поставка канцелярских и хозяйственных материалов ЦФО,22.29.25,22.29.25 Принадлежности канцелярские или школьные пластмассовые,8.0,Штука,,,,,,,,,lot_total_fallback,Office & Admin
roseltorg,ООО ЕАПТЕКА,B0404251437167,2,1,Поставка канцелярских и хозяйственных материалов ДВФО,22.29.25,22.29.25 Принадлежности канцелярские или школьные пластмассовые,16.0,Упаковка,,,,,,,,,lot_total_fallback,Office & Admin
roseltorg,ООО ЕАПТЕКА,B0404251437167,3,1,Поставка канцелярских и хозяйственных материалов ПФО,22.29.25,22.29.25 Принадлежности канцелярские или школьные пластмассовые,1.0,Штука,,,,,,,,,lot_total_fallback,Office & Admin
roseltorg,ООО ЕАПТЕКА,B0404251437167,4,1,Поставка канцелярских и хозяйственных материалов СЗФО,22.29.25,22.29.25 Принадлежности канцелярские или школьные пластмассовые,1.0,Штука,,,,,,,,,lot_total_fallback,Office & Admin
roseltorg,ООО ЕАПТЕКА,B0404251437167,5,1,Поставка канцелярских и хозяйственных материалов СКФО,22.29.25,22.29.25 Принадлежности канцелярские или школьные пластмассовые,6.0,Упаковка,,,,,,,,,lot_total_fallback,Office & Admin
roseltorg,ООО ЕАПТЕКА,B0404251437167,6,1,Поставка канцелярских и хозяйственных материалов СФО,22.29.25,22.29.25 Принадлежности канцелярские или школьные пластмассовые,36.0,Упаковка,,,,,,,,,lot_total_fallback,Office & Admin
roseltorg,ООО ЕАПТЕКА,B0404251437167,7,1,Поставка канцелярских и хозяйственных материалов УФО,22.29.25,22.29.25 Принадлежности канцелярские или школьные пластмассовые,20.0,Упаковка,,,,,,,,,lot_total_fallback,Office & Admin
roseltorg,ООО ЕАПТЕКА,B0404251437167,8,1,Поставка канцелярских и хозяйственных материалов ЮФО,22.29.25,22.29.25 Принадлежности канцелярские или школьные пластмассовые,16.0,Упаковка,,,,,,,,,lot_total_fallback,Office & Admin
roseltorg,ООО ЕАПТЕКА,B0408251039386,1,1,Лицензия АТОЛ Connect,28.23,"28.23 Машины офисные и оборудование, кроме компьютеров и периферийного оборудования",400.0,шт,,,,,,,,,lot_total_fallback,Software & Cloud
roseltorg,ООО ЕАПТЕКА,B0505251444149,1,1,Камера холодильная медицинская не менее 535 литров,28.25.13.110,"28.25.13.110 Оборудование холодильное и морозильное, кроме бытового оборудования",1.0,Штука,,,,,,,,,lot_total_fallback,Other
roseltorg,ООО ЕАПТЕКА,B0505251444149,10,1,Полка к поставляемому оборудованию для фармацевтического холодильника 150 литров,28.25.13.110,"28.25.13.110 Оборудование холодильное и морозильное, кроме бытового оборудования",1.0,Штука,,,,,,,,,lot_total_fallback,Other
roseltorg,ООО ЕАПТЕКА,B0505251444149,100,1,Холодильник бытовой 90 литров,28.25.13.110,"28.25.13.110 Оборудование холодильное и морозильное, кроме бытового оборудования",1.0,Штука,,,,,,,,,lot_total_fallback,Other
roseltorg,ООО ЕАПТЕКА,B0505251444149,101,1,Холодильник бытовой 50 литров,28.25.13.110,"28.25.13.110 Оборудование холодильное и морозильное, кроме бытового оборудования",1.0,Штука,,,,,,,,,lot_total_fallback,Other
roseltorg,ООО ЕАПТЕКА,B0505251444149,102,1,Морозильный ларь не менее 9 9 литров,28.25.13.110,"28.25.13.110 Оборудование холодильное и морозильное, кроме бытового оборудования",1.0,Штука,,,,,,,,,lot_total_fallback,Other
roseltorg,ООО ЕАПТЕКА,B0505251444149,103,1,Ручка для фармацевтического холодильника,28.25.13.110,"28.25.13.110 Оборудование холодильное и морозильное, кроме бытового оборудования",1.0,Штука,,,,,,,,,lot_total_fallback,Other
roseltorg,ООО ЕАПТЕКА,B0505251444149,104,1,Полка к поставляемому оборудованию для фармацевтического холодильника не менее 535 литров,28.25.13.110,"28.25.13.110 Оборудование холодильное и морозильное, кроме бытового оборудования",1.0,Штука,,,,,,,,,lot_total_fallback,Other
roseltorg,ООО ЕАПТЕКА,B0505251444149,105,1,Полка к поставляемому оборудованию для 2-х камерного фармацевтического холодильника 280 литров,28.25.13.110,"28.25.13.110 Оборудование холодильное и морозильное, кроме бытового оборудования",1.0,Штука,,,,,,,,,lot_total_fallback,Other
roseltorg,ООО ЕАПТЕКА,B0505251444149,106,1,Полка к поставляемому оборудованию для фармацевтического холодильника 150 литров,28.25.13.110,"28.25.13.110 Оборудование холодильное и морозильное, кроме бытового оборудования",1.0,Штука,,,,,,,,,lot_total_fallback,Other
roseltorg,ООО ЕАПТЕКА,B0505251444149,107,1,Полка к поставляемому оборудованию для фармацевтического холодильника 90 литров,28.25.13.110,"28.25.13.110 Оборудование холодильное и морозильное, кроме бытового оборудования",1.0,Штука,,,,,,,,,lot_total_fallback,Other
roseltorg,ООО ЕАПТЕКА,B0505251444149,108,1,Полка к поставляемому оборудованию для фармацевтического холодильника 50 литров,28.25.13.110,"28.25.13.110 Оборудование холодильное и морозильное, кроме бытового оборудования",1.0,Штука,,,,,,,,,lot_total_fallback,Other
roseltorg,ООО ЕАПТЕКА,B0505251444149,11,1,Полка к поставляемому оборудованию для фармацевтического холодильника 90 литров,28.25.13.110,"28.25.13.110 Оборудование холодильное и морозильное, кроме бытового оборудования",1.0,Штука,,,,,,,,,lot_total_fallback,Other
roseltorg,ООО ЕАПТЕКА,B0505251444149,12,1,Полка к поставляемому оборудованию для фармацевтического холодильника 50 литров,28.25.13.110,"28.25.13.110 Оборудование холодильное и морозильное, кроме бытового оборудования",1.0,Штука,,,,,,,,,lot_total_fallback,Other
