source_system,procedure_number,lot_number,participant_role,participant_name,participant_inn,participant_external_id,offer_price_rub,is_winner,evidence_source
roseltorg,B0104251649415,1,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0104251710318,1,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0204251251223,1,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0204251251223,2,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0210251122051,1,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0404251235097,1,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0404251437167,1,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0404251437167,2,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0404251437167,3,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0404251437167,4,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0404251437167,5,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0404251437167,6,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0404251437167,7,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0404251437167,8,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0408251039386,1,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,1,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,2,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,3,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,4,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,5,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,6,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,7,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,8,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,9,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,10,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,11,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,12,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,13,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,14,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,15,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,16,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,17,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,18,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,19,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,20,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,21,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,22,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,23,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,24,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,25,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,26,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,27,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,28,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,29,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,30,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,31,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,32,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,33,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,34,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,35,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,36,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,37,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,38,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,39,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
roseltorg,B0505251444149,40,seller_from_public_schema,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",7704865540,,0.0,False,roseltorg_json_ld_offers_seller
