factor_date,usd_rub,nominal
2024-01-10,90.404,1.0
2024-01-11,89.3939,1.0
2024-01-12,88.7818,1.0
2024-01-13,88.1324,1.0
2024-01-16,87.6772,1.0
2024-01-17,87.6457,1.0
2024-01-18,88.354,1.0
2024-01-19,88.661,1.0
2024-01-20,88.5896,1.0
2024-01-23,87.9724,1.0
2024-01-24,87.9199,1.0
2024-01-25,88.2829,1.0
2024-01-26,88.6562,1.0
2024-01-27,89.5159,1.0
2024-01-30,89.609,1.0
2024-01-31,89.2887,1.0
2024-02-01,89.6678,1.0
2024-02-02,90.2299,1.0
2024-02-03,90.6626,1.0
2024-02-06,91.2434,1.0
2024-02-07,90.6842,1.0
2024-02-08,91.1514,1.0
2024-02-09,91.2561,1.0
2024-02-10,90.8901,1.0
2024-02-13,91.0758,1.0
2024-02-14,91.2057,1.0
2024-02-15,91.4316,1.0
2024-02-16,91.8237,1.0
2024-02-17,92.5492,1.0
2024-02-20,92.4102,1.0
2024-02-21,92.349,1.0
2024-02-22,92.4387,1.0
2024-02-23,92.7519,1.0
2024-02-27,92.6321,1.0
2024-02-28,92.0425,1.0
2024-02-29,91.8692,1.0
2024-03-01,90.8423,1.0
2024-03-02,91.3336,1.0
2024-03-05,91.3534,1.0
2024-03-06,91.1604,1.0
2024-03-07,90.3412,1.0
2024-03-08,90.7493,1.0
2024-03-12,90.6252,1.0
2024-03-13,90.8818,1.0
2024-03-14,91.5449,1.0
2024-03-15,91.6359,1.0
2024-03-16,91.87,1.0
2024-03-19,91.9829,1.0
2024-03-20,92.2243,1.0
2024-03-21,92.6861,1.0
2024-03-22,91.9499,1.0
2024-03-23,92.6118,1.0
2024-03-26,92.7761,1.0
2024-03-27,92.5745,1.0
2024-03-28,92.5919,1.0
2024-03-29,92.2628,1.0
2024-03-30,92.366,1.0
2024-04-02,92.2914,1.0
2024-04-03,92.5254,1.0
2024-04-04,92.3892,1.0
2024-04-05,92.3058,1.0
2024-04-06,92.4155,1.0
2024-04-09,92.581,1.0
2024-04-10,92.7463,1.0
2024-04-11,93.2198,1.0
2024-04-12,93.7196,1.0
2024-04-13,93.4419,1.0
2024-04-16,93.5891,1.0
2024-04-17,94.0742,1.0
2024-04-18,94.3242,1.0
